t,choke_cmd,Q,WHP,FLP,BHP,target_Q,predicted_Q,reason,n_feasible,n_candidates
35,25.0,149.22548662665164,2046.568270648602,498.1398105411162,4047.6450756187296,150.0,150.17942431432672,target_achieved,21,21
36,25.5,151.10563455483964,2050.085920747179,500.21198239610817,4028.1191634019274,150.0,149.98983485450765,target_achieved,21,21
37,24.0,148.10847219635184,2048.211962110816,498.5841243744096,4087.7402221627835,150.0,150.05773838563616,target_achieved,21,21
38,26.5,150.89604190137845,2056.0643971742847,500.3434102109447,4023.6256202387376,150.0,150.0214424521846,target_achieved,21,21
39,24.0,148.9901252167527,2043.9983426561776,504.7402081916728,4034.225651052989,150.0,149.9076615388283,target_achieved,21,21
40,25.5,150.84692686818087,2039.6641502935042,502.7652545940411,4057.142554452058,150.0,149.82130653219014,target_achieved,21,21
41,24.0,149.17958242922296,2053.0989177742363,496.9606569009378,4061.148139531554,150.0,149.87249318158186,target_achieved,21,21
42,25.5,149.57797192440773,2037.839933225826,496.64424151793907,4053.7380389907426,150.0,149.95696558599286,target_achieved,21,21
43,25.0,151.1258394501579,2051.9302505642445,499.58743123825167,4055.9622907574903,150.0,149.8203940997214,target_achieved,21,21
44,24.0,150.0729616294465,2056.7569022053067,497.17506623374373,4075.119267311011,150.0,150.0722059107587,target_achieved,21,21
45,25.0,149.67483391705812,2068.993026028791,499.16620374552235,4027.1286987090975,150.0,150.1748268191312,target_achieved,21,21
46,25.0,148.51463045100198,2069.253163713746,503.37636698930834,4047.750731026032,150.0,149.8897512178858,target_achieved,21,21
47,26.0,150.22236522928554,2062.4074724809934,498.24820024256246,4030.3564296184254,150.0,149.89855017110727,target_achieved,21,21
48,24.5,150.4209041214243,2046.2616593069731,499.86441148930606,4046.8743112724987,150.0,149.8557298091044,target_achieved,21,21
49,24.5,149.7810444082278,2066.7999788732786,499.28335342381104,4064.458336104134,150.0,149.9978917141562,target_achieved,21,21
50,25.0,148.12810241153963,2051.1888777446843,497.21931108771486,4026.326052694565,150.0,149.9658022404261,target_achieved,21,21
51,26.5,150.35196277492668,2041.5085442881953,504.3291207202491,4020.11564100215,150.0,150.03549848300867,target_achieved,21,21
52,24.5,150.32297249516066,2043.5411293309824,499.7797402703976,4069.4014754530635,150.0,149.9485269118781,target_achieved,21,21
53,24.5,150.190590123265,2064.7775575624387,499.1892141926745,4036.5422193071045,150.0,149.9277686949105,target_achieved,21,21
54,24.5,149.25319490771275,2055.3869040313093,499.28129069345727,4029.7703935552913,150.0,149.83297754350824,target_achieved,21,21
55,25.5,150.0756962386674,2052.300168925342,506.30953281902845,4087.9824069880196,150.0,150.00967510836887,target_achieved,21,21
56,25.0,149.36565068270173,2047.026325244941,496.35252717209823,4038.0214112992985,150.0,150.17678491032547,target_achieved,21,21
57,25.5,150.66449344372066,2060.2115451801146,499.0284077577253,4035.476378456424,150.0,150.09019800760683,target_achieved,21,21
58,24.5,148.2695268405159,2048.9387250571363,497.10263514747385,4039.6418146485908,150.0,150.17231155570406,target_achieved,21,21
59,26.5,150.50733107955975,2043.1860324160464,497.92532525643054,4016.8077624738585,150.0,150.13676411427895,target_achieved,21,21
60,24.5,152.01237921221664,2034.76181120249,498.07566263651256,4085.9529698466986,150.0,150.05977692407154,target_achieved,21,21
61,23.0,150.7161405933288,2045.1578070296928,496.20125003975875,4061.249041331607,150.0,149.83243510099612,target_achieved,21,21
62,24.5,149.82351348524466,2047.1506196720754,496.469613568713,4070.1392748525573,150.0,150.20929301107378,target_achieved,21,21
63,25.0,149.2773868843233,2051.366624641713,497.5740170349774,4025.276018090722,150.0,149.9962118233016,target_achieved,21,21
64,25.5,149.4950691129909,2048.900800694097,499.9262870021638,4039.7319713947604,150.0,150.026997545524,target_achieved,21,21
65,25.5,150.54311420337675,2059.4304783140765,500.766896449346,4056.5550259443376,150.0,150.18286685651867,target_achieved,21,21
66,24.5,149.74787327864465,2051.4604438833294,497.6143799616493,4057.2861415862462,150.0,150.08539909308703,target_achieved,21,21
67,25.0,149.71797009518662,2072.5117542022535,503.51176291845877,4058.442103387794,150.0,149.94205036529743,target_achieved,21,21
68,25.0,149.27840441596567,2039.3429868136818,502.67632318165215,4055.770885972776,150.0,149.9206384722335,target_achieved,21,21
69,25.5,150.67657373042323,2030.5532218797755,502.95294070712583,4058.252735129962,150.0,150.0277261394794,target_achieved,21,21
70,24.5,148.96715799149376,2046.17017836964,500.25649111809076,4051.666018155841,150.0,150.1809615312968,target_achieved,21,21
71,25.5,150.05944203167084,2047.5450771877836,499.92730952839736,4052.2518185434574,150.0,149.80486106671287,target_achieved,21,21
