t,choke_cmd,Q,WHP,FLP,BHP,target_Q,predicted_Q,reason,n_feasible,n_candidates
52,15.5,120.16685474715217,2193.933667570378,439.5755389812745,4160.309494701286,120.0,119.93158825101054,target_achieved,21,21
53,15.5,119.89236302259117,2216.8724897010215,438.8020488023764,4126.877558995697,120.0,119.74763376475104,target_achieved,21,21
54,16.0,119.55838559177847,2204.2075470757904,439.7726312490061,4118.471093216065,120.0,120.08525802269824,target_achieved,21,21
55,16.0,119.83375796014144,2203.6139502396663,445.0920211136975,4179.518197838363,120.0,119.84611662678745,target_achieved,21,21
56,16.0,119.33077841638148,2197.6273953207983,436.46684025462105,4128.244813542736,120.0,120.04329441932671,target_achieved,21,21
57,16.5,120.60425603749694,2211.180705252725,439.2214741153285,4125.22051522276,120.0,120.2090257006594,target_achieved,21,21
58,15.5,118.47528471835815,2199.4042376955936,437.1874127262714,4129.755427175793,120.0,120.06083084184601,target_achieved,21,21
59,17.0,120.34575759405335,2194.586608303591,437.869031784715,4107.024293724727,120.0,120.114430094637,target_achieved,21,21
60,15.5,121.37027886645467,2185.3825359176726,437.76957291935634,4177.746320579151,120.0,119.87573546442653,target_achieved,21,21
61,15.0,120.71389272906475,2192.15512019905,437.1647620906449,4150.118635733674,120.0,120.0664719807088,target_achieved,21,21
62,15.5,119.76372454701735,2195.4263271448144,436.93832369790124,4159.89335240707,120.0,120.13933516293372,target_achieved,21,21
63,16.0,119.35421425358341,2200.3771695706596,437.8974426002123,4114.235035499658,120.0,119.99314765301938,target_achieved,21,21
64,16.5,119.73642402235596,2197.6730110496765,440.2688620461443,4128.866167007881,120.0,120.22580671130785,target_achieved,21,21
65,16.0,120.19615084733549,2211.5749065451114,440.168673638417,4147.541518912671,120.0,119.97359936929033,target_achieved,21,21
66,15.5,119.43398319694901,2202.989685301401,437.22138316110284,4148.347522418485,120.0,119.76861096155002,target_achieved,21,21
67,16.0,119.51352897373788,2225.1888014360125,442.5980271696734,4149.27442478219,120.0,119.75703946285523,target_achieved,21,21
68,16.0,119.23644089908547,2189.2894173009117,442.00306759092,4146.360805519133,120.0,119.81399746763361,target_achieved,21,21
69,16.5,120.59633900128871,2179.2853927719843,442.6582460760687,4148.4818607765865,120.0,120.14147620931195,target_achieved,21,21
70,15.5,119.02011418979623,2196.386401544119,439.94858928445063,4142.032446216356,120.0,120.05516192258492,target_achieved,21,21
71,16.5,120.12569347412699,2197.355226225077,440.04776329798636,4142.253044558881,120.0,119.98657750520991,target_achieved,21,21
